id,nome,tipo,nivel_magia,custo_mana,prereq,execucao,alcance,alvo,duracao,categoria,natureza,descricao
723,Gota Viva,Truque,1,0,,Livre,Curto,Objeto,Sustentada,Utilidade,Água,"Você manipula pequenas quantidades de água, movendo, reunindo ou moldando líquidos simples. Manipula pequenos volumes de água (até um litro). Pode limpar superfícies ou condensar gotas no ar."
724,Névoa Fria,Truque,1,0,,Livre,Médio,Local,Sustentada,Controle,Água,"Conjura uma névoa gélida que encobre uma pequena área em um raio de 12 metros, reduzindo a visibilidade e abafando movimentos. Criaturas dentro da névoa recebem +2 em testes de Furtividade. Área de 12 metros de raio."
725,Detectar Mana,Truque,1,0,,Padrão,Curto,Local,Instantânea,Utilidade,Arcano,"O conjurador aguça sua percepção para sentir fluxos arcanos ao redor. Enquanto a magia estiver ativa, ele pode detectar a presença de magias em atividade, objetos encantados e fontes mágicas simples em um raio de até 9 metros."
726,Leitura Arcana,Truque,1,0,,Livre,Toque,Objeto,Instantânea,Utilidade,Arcano,"O conjurador expande sua percepção mágica, analisando o fluxo arcano dentro do alcance de sua visão. Identifica informações básicas sobre um efeito mágico visível: natureza mágica, elemento predominante, categoria, função ou efeito geral e nível aproximado de poder."
727,Luz Arcana,Truque,1,0,,Livre,Toque,Objeto,Cena,Encantamento,Arcano,Encanta um objeto tocado fazendo-o emitir luz mágica ao redor. A luz ilumina um raio de 9 metros.
728,Mãos Arcanas,Truque,1,0,,Padrão,Curto,Objeto,Sustentada,Invocação,Arcano,"Cria uma mão mágica flutuante capaz de mover pequenos objetos, abrir portas destrancadas, puxar itens leves ou interagir com objetos simples à distância. O alcance é Curto (até 9 metros)."
729,Rajada Arcana,Truque,1,0,,Padrão,Médio,Criatura,Instantânea,Ofensiva,Arcano,"Dispara uma pequena rajada de energia arcana contra uma criatura. O conjurador realiza um ataque mágico contra uma criatura. Em caso de acerto, o alvo sofre 1d6 + Intelecto do conjurador em de dano de Arcano."
730,Chamas Escarlate,Truque,1,0,Armas Corpo a Corpo,Reação,Toque,Objeto,Instantânea,Encantamento,Fogo,"O conjurador envolve a arma em chamas mágicas no instante do ataque. Até o final da ação, os ataques realizados com a arma são considerados mágicos e causam 2d6 de dano adicional de Fogo em acertos bem-sucedidos. A habilidade pode ser ativada como uma reação durante um ataque. Ao atingir o alvo, as chamas também podem se espalhar para uma criatura adjacente ao alvo original, causando o mesmo dano de Fogo adicional. Os efeitos desta habilidade não são cumulativos."
731,Encantar com Chamas,Truque,1,0,Armas Corpo a Corpo,Padrão,Toque,Objeto,3 Rodadas,Encantamento,Fogo,"O conjurador envolve uma arma corpo a corpo em chamas mágicas intensas. Enquanto esta magia permanecer ativa, a arma é considerada mágica e emite luz equivalente à de uma tocha. Além do dano normal, ataques bem-sucedidos com a arma causam 1d8 de dano adicional de Fogo. Os efeitos desta habilidade não podem ser acumulados com outras fontes iguais."
732,Faísca,Truque,1,0,,Padrão,Curto,Local,Instantânea,Utilidade,Fogo,"Você cria uma pequena faísca mágica em um ponto dentro do alcance. A faísca pode ser usada para acender tochas, fogueiras, lareiras, pavios, velas ou iniciar pequenos focos de incêndio em materiais inflamáveis. Acende materiais inflamáveis simples em até 9 metros. A faísca não possui força suficiente para causar dano direto."
733,Mover Terra,Truque,1,0,,Padrão,Curto,Local,Instantânea,Controle,Terra,"O conjurador manipula terra, areia ou pedra natural, abrindo buracos, trincheiras ou depressões. A terra removida é deslocada para um espaço adjacente. Não funciona em estruturas mágicas, metais ou superfícies completamente artificiais. O terreno afetado torna-se difícil. Manipula até 9 metros cúbicos de terra."
734,Choque,Truque,1,0,,Padrão,Curto,Criatura,Instantânea,Ofensiva,Trovão,"O conjurador realiza um ataque mágico contra uma criatura. Em caso de acerto, o alvo sofre 1d6 + Intelecto do conjurador em dano de Trovão."
735,Clarão Trovejante,Truque,1,0,,Padrão,Curto,Local,Instantânea,Controle,Trovão,"O conjurador libera um clarão elétrico intenso em uma área de 9 metros. Todas as criaturas na área devem realizar uma salvaguarda de Sobrevivência. Em caso de falha, a criatura fica Cega até o início do próximo turno do conjurador. Em caso de sucesso, a criatura resiste ao efeito e se torna imune a esta magia até o fim da cena."
736,Voz Trovejante,Truque,1,0,,Livre,Pessoal,Conjurador,Cena,Utilidade,Trovão,"O conjurador envolve sua voz com energia trovejante. Enquanto ativa, a voz ressoa como um estrondo e pode ser ouvida claramente mesmo em ambientes barulhentos. Recebe +2 em testes de Intimidação."
737,Mãos do Vento,Truque,1,0,,Livre,Toque,Objeto,Cena,Utilidade,Vento,"O conjurador manipula pequenas correntes de ar para mover objetos leves à distância, interferir discretamente em mecanismos simples e auxiliar em furtos ou prestidigitações. O vento pode percorrer mecanismos internos, revelando pistas sobre fechaduras ou dispositivos mecânicos não mágicos. Concede +2 em testes de Prestidigitação, Furto e Ladinagem envolvendo objetos pequenos."
738,Miragem,Truque,1,0,,Reação,Pessoal,Conjurador,Instantânea,Defensiva,Vento,"Quando o conjurador é alvo de um ataque, pode usar sua reação para criar uma miragem distorcida de si mesmo. Até a resolução do ataque, recebe +1 de Defesa. Se o ataque errar, o conjurador pode se reposicionar para uma casa adjacente desocupada, sem provocar ataques de oportunidade."
739,Armadilha de Gelo,Magias Iniciais,2,2,,Padrão,Curto,Local,5 rodadas,Invocação,Água,"O conjurador cria um Círculo Mágico Congelante oculto em uma área. Quando uma criatura ativa a armadilha, deve realizar uma salvaguarda de Reflexos. Em caso de falha, sofre 2d8 de dano de Água e fica Congelada até o início do próximo turno do conjurador. Em caso de sucesso, evita completamente os efeitos da armadilha. Após ser ativado, o círculo mágico se desfaz imediatamente."
